Institution,Country,AC,FC
"GNS Science","New Zealand",71,14.895147216728
"James Cook University (JCU)",Australia,72,14.826617527579
"University of Zaragoza (Unizar)",Spain,109,14.785522143921
"Southwest University of Science and Technology (SWUST)",China,43,14.749713480963
"University of Manitoba",Canada,139,14.738181780128
"University of Lille Nord de France",France,130,14.712324400276
"Wake Forest University (WFU)","United States of America (USA)",65,14.667556465609
"University of Vermont (UVM)","United States of America (USA)",56,14.573793093165
"Virginia Commonwealth University (VCU)","United States of America (USA)",62,14.540769216541
"São Paulo State University (UNESP)",Brazil,122,14.478048426218
"University of Kaiserslautern (TU Kaiserslautern)",Germany,47,14.462357962605
"University of Pavia (UNIPV)",Italy,207,14.454974838701
"Baylor University","United States of America (USA)",105,14.423207591577
"University of Montana (UMT)","United States of America (USA)",48,14.389946382593
"University of Delhi (DU)",India,84,14.373212352207
"Tampere University",Finland,185,14.300711325117
"Heilongjiang University (HLJU)",China,21,14.262827681578
"University of Luxembourg",Luxembourg,44,14.234815620246
"George Mason University (GMU)","United States of America (USA)",77,14.190397427897
"University of Limerick (UL)",Ireland,41,14.165769959888
"University of Mississippi (Ole Miss)","United States of America (USA)",129,14.141335483648
"Rovira i Virgili University (URV)",Spain,64,14.098938947326
"Inner Mongolia University",China,26,14.087554112554
"University of Oulu",Finland,82,14.079497604387
"Wenzhou Medical University (WMU)",China,51,14.079050912009
"University of Greifswald",Germany,67,14.037888936396
"Concordia University",Canada,82,14.037263728072
"Amgen Inc.","United States of America (USA)",58,14.008253331692
"Singapore University of Technology and Design (SUTD)",Singapore,48,13.974038899697
"State University of Campinas (UNICAMP)",Brazil,124,13.967209097031
"Polytechnic University of Catalonia (UPC)",Spain,85,13.954108243275
"Johnson & Johnson","United States of America (USA)",64,13.954035051555
"Kyungpook National University (KNU)","South Korea",129,13.949512299415
"University of Rome Tor Vergata",Italy,148,13.945591790996
"Hainan University (HU)",China,33,13.938573368353
"University of Alaska Fairbanks (UAF)","United States of America (USA)",89,13.916471783576
"Collège de France",France,216,13.85093942348
"Shantou University (STU)",China,46,13.836844833297
"Westlake University",China,62,13.797669444057
"University of Nevada, Las Vegas (UNLV)","United States of America (USA)",61,13.791387485795
"Oncode Institute",Netherlands,99,13.788993503433
"University of Parma (UNIPR)",Italy,62,13.774496899727
"Nanchang Hangkong University (NCHU)",China,23,13.760317460317
"The University of Texas at Arlington (UTA)","United States of America (USA)",107,13.734604384156
"University of Murcia (UMU)",Spain,43,13.730651789201
"Nara Institute of Science and Technology (NAIST)",Japan,38,13.698522227564
"University of Tromsø - The Arctic University of Norway (UiT)",Norway,73,13.675627296257
"Nippon Telegraph and Telephone Corporation (NTT)",Japan,22,13.654761904762
"Otto-von-Guericke University Magdeburg (OVGU)",Germany,55,13.645884313433
"Australian Nuclear Science and Technology Organisation (ANSTO)",Australia,106,13.623173932428
"University of the Witwatersrand, Johannesburg (Wits University)","South Africa",132,13.608904582144
"Novosibirsk State University (NSU)",Russia,196,13.606810980499
"Van Andel Research Institute (VAI)","United States of America (USA)",47,13.602834381759
"Montana State University","United States of America (USA)",75,13.592757197802
"University of Tartu (UT)",Estonia,95,13.582947914187
"University of Porto (UP)",Portugal,99,13.580171370718
"National Synchrotron Radiation Research Center (NSRRC)",Taiwan,70,13.561870825253
"National University of Ireland Galway (NUI Galway)",Ireland,54,13.545934568243
"York University",Canada,149,13.413306865053
"University of North Texas (UNT)","United States of America (USA)",58,13.342998682869
"New Jersey Institute of Technology (NJIT)","United States of America (USA)",50,13.2891093843
"Gifu University",Japan,36,13.261974762361
"La Trobe University",Australia,88,13.247742099039
"Jeonbuk National University (JBNU)","South Korea",62,13.200570101207
"Indian Institute of Technology Delhi (IIT Delhi)",India,31,13.198175580341
"San Diego State University (SDSU)","United States of America (USA)",70,13.122614521249
"Ehime University",Japan,44,13.108405837082
"Chan Zuckerberg Biohub (CZ Biohub)","United States of America (USA)",136,13.093037915427
"University of Pittsburgh Medical Center (UPMC)","United States of America (USA)",92,13.029601170942
"Rudjer Boskovic Institute (RBI)",Croatia,125,12.970782191945
"California Institute for Quantitative Biosciences (QB3)","United States of America (USA)",82,12.934421495759
"Grenoble Institute of Technology (Grenoble INP)",France,249,12.920150826943
"Federal University of ABC (UFABC)",Brazil,110,12.914018525074
"Cedars-Sinai Medical Center (Cedars-Sinai)","United States of America (USA)",58,12.912032939049
"Southwest Research Institute (SwRI)","United States of America (USA)",69,12.852455518549
"Stowers Institute for Medical Research","United States of America (USA)",28,12.816690799848
"University of Surrey","United Kingdom (UK)",57,12.807352265525
"Missouri University of Science and Technology (MST)","United States of America (USA)",35,12.766623254133
"North China Electric Power University (NCEPU)",China,41,12.744933631284
"Guangxi Normal University (GXNU)",China,50,12.719689245731
"South China Agricultural University (SCAU)",China,51,12.706196830952
"Michigan Technological University (Michigan Tech)","United States of America (USA)",32,12.686552718952
"University of Wisconsin-Milwaukee (UWM)","United States of America (USA)",71,12.685036906698
"Capital Medical University",China,99,12.672137540628
"Medical College of Wisconsin (MCW)","United States of America (USA)",50,12.656408780851
"Nanjing Forestry University (NFU)",China,48,12.599915824916
"Hebei University of Technology (HEBUT)",China,33,12.554586276297
"The Wistar Institute","United States of America (USA)",57,12.478946251436
"National Institute of Scientific Research (INRS)",Canada,78,12.4524172167
"Kunming University of Science and Technology (KUST)",China,43,12.450974806977
"Xidian University",China,46,12.430345471522
"Saint Louis University (SLU)","United States of America (USA)",54,12.386991261464
"IMDEA Institutes",Spain,68,12.382526020619
"Japan Synchrotron Radiation Research Institute (JASRI)",Japan,123,12.356464879513
"University of Seville (US)",Spain,88,12.34257303067
"China Shipbuilding Industry Corporation (CSIC)",China,253,12.331698100035
"University of Salamanca (USAL)",Spain,40,12.328200712222
"University of Maryland, Baltimore County (UMBC)","United States of America (USA)",80,12.298600449148
"Indian Institute of Technology Roorkee (IIT Roorkee)",India,18,12.271909759598
"Sogang University","South Korea",34,12.180464297441
"Institut Polytechnique de Bordeaux (Bordeaux INP)",France,90,12.162777947361
"Miami University","United States of America (USA)",35,12.126806344062
"Institut Laue Langevin (ILL)",France,76,12.117259003937
"India Department of Space (DOS)",India,24,12.116106357695
"QIMR Berghofer Medical Research Institute",Australia,83,12.098859815049
"University of Debrecen",Hungary,100,12.087893049369
"Yanshan University (YSU)",China,39,12.054042531543
"Scuola Normale Superiore (SNS)",Italy,144,12.049758265667
"University of Nantes",France,146,12.041915028732
"Microsoft Corporation","United States of America (USA)",51,12.010221483596
"Northwest Normal University (NWNU)",China,26,11.972664835165
"Budapest University of Technology and Economics (BME)",Hungary,43,11.936316665361
"Samsung Group","South Korea",79,11.831149270223
"Northern Arizona University (NAU)","United States of America (USA)",52,11.777433734887
"The Open University (OU)","United Kingdom (UK)",45,11.762530820609
"Walter and Eliza Hall Institute of Medical Research (WEHI)",Australia,85,11.749954312931
"University of Aberdeen","United Kingdom (UK)",76,11.743924079034
"University of Lübeck",Germany,103,11.730160902094
"Stevens Institute of Technology","United States of America (USA)",26,11.718144420939
"Japan Meteorological Agency (JMA)",Japan,31,11.702182631212
"University of Canterbury (UC)","New Zealand",154,11.654820846888
"Houston Methodist","United States of America (USA)",48,11.642075934567
"Provincial Health Services Authority (PHSA)",Canada,63,11.618409858523
"Beijing Jiaotong University (BJTU)",China,32,11.585793295255
"Vidyasirimedhi Institute of Science and Technology (VISTEC)",Thailand,26,11.552777777778
"University of Rhode Island (URI)","United States of America (USA)",64,11.547563151038
"University of Alabama in Huntsville (UAH)","United States of America (USA)",60,11.409297731577
"University of London - Royal Holloway (RHUL)","United Kingdom (UK)",108,11.395783299399
"Changsha University of Science and Technology (CSUST)",China,36,11.319612740201
"U.S. Food and Drug Administration (USFDA)","United States of America (USA)",23,11.287683485097
"The College of William & Mary (W&M)","United States of America (USA)",43,11.263995982522
"Shizuoka University",Japan,31,11.23474848738
"Adam Mickiewicz University in Poznań (AMU)",Poland,50,11.228503260592
"California State University, Northridge (CSUN)","United States of America (USA)",28,11.220300940889
"Jadavpur University (JU)",India,19,11.209126984127
"State University of New York at Binghamton (SUNY Binghamton)","United States of America (USA)",33,11.196183514198
"Bilkent University",Turkey,28,11.111631492496
"The University of Newcastle (UON)",Australia,66,11.071589754882
"Regeneron Pharmaceuticals, Inc.","United States of America (USA)",23,11.059461447845
"Qilu University of Technology (QLUT)",China,42,11.05404894019
"North Dakota State University (NDSU)","United States of America (USA)",25,11.014102564103
"The University of Toledo (UT)","United States of America (USA)",33,11.005179058087
"National Institutes for Quantum and Radiological Science and Technology (QST)",Japan,44,10.994795191522
"National Taiwan Normal University (NTNU)",Taiwan,30,10.96658368858
"Niigata University",Japan,59,10.95126859783
"Fujian Normal University (FNU)",China,35,10.893016827943
"Natural Resources Canada",Canada,41,10.889629108708
"Sejong University","South Korea",112,10.794714351486
"Allen Institute","United States of America (USA)",31,10.74571338749
"Taizhou University (TZU)",China,28,10.724302902979
"University of Paderborn (UPB)",Germany,34,10.715848794738
"JiangXi University of Science and Technology",China,24,10.679497354497
"University of Trieste (UNITS)",Italy,152,10.678722446827
"Japan Atomic Energy Agency (JAEA)",Japan,79,10.672657147413
"Exxon Mobil Corporation (ExxonMobil)","United States of America (USA)",33,10.641786108628
"University of Natural Resources and Life Sciences, Vienna (BOKU)",Austria,36,10.617474122262
"Cancer Research UK (CRUK)","United Kingdom (UK)",59,10.585273957591
"Johns Hopkins Health System Corporation (JHHS)","United States of America (USA)",135,10.552882779531
"Medical University of Innsbruck (MUI)",Austria,39,10.548126269812
"Guizhou University (GZU)",China,28,10.486218254733
"Met Office","United Kingdom (UK)",48,10.432549115683
"Foundation for Research and Technology - Hellas (FORTH)",Greece,50,10.401736309786
"University of Belgrade",Serbia,144,10.351905716886
"Indian Institute of Technology Gandhinagar (IIT Gandhinagar)",India,31,10.335701903794
"Chungnam National University (CNU)","South Korea",46,10.286813630861
"Polytechnic University of Turin",Italy,66,10.21367031718
"Chinese Center for Disease Control and Prevention (China CDC)",China,63,10.198490003056
"FiberHome Technologies Group",China,107,10.159945802664
"University of Crete (UOC)",Greece,53,10.158339828889
"Marquette University","United States of America (USA)",27,10.092392621981
"University of Ulsan (UOU)","South Korea",50,10.045163515697
"Johannes Kepler University of Linz (JKU)",Austria,34,10.032984145484
"Babraham Institute","United Kingdom (UK)",31,10.026793543383
"Department of Atomic Energy (DAE)",India,92,10.009454343046
"University of Antofagasta",Chile,26,9.9711857578912
"University Clermont Auvergne",France,162,9.9134511920198
"Indian Institute of Technology Hyderabad (IITH)",India,35,9.9033322186235
"China University of Petroleum, Beijing (CUPB)",China,26,9.8670052170052
"Liaocheng University (LCU)",China,37,9.8413355163355
"Thermo Fisher Scientific Inc.","United States of America (USA)",63,9.8059022941569
"Xi'an University of Architecture and Technology (XAUAT)",China,16,9.7731837606838
"Aoyama Gakuin University",Japan,19,9.770173090026
"Kindai University",Japan,36,9.7690977171099
"Gladstone Institutes","United States of America (USA)",57,9.7628759330651
"Shanghai University of Traditional Chinese Medicine (SHUTCM)",China,41,9.7584412785071
"Carleton University",Canada,123,9.7566614580803
"NERC National Oceanography Centre (NOC)","United Kingdom (UK)",67,9.7430659270771
"Augusta University","United States of America (USA)",37,9.7380028817473
"Northumbria University","United Kingdom (UK)",40,9.7313309438309
"Jacobs University Bremen",Germany,28,9.706622479563
"University of Alcalá (UAH)",Spain,32,9.6424316628734
"Shinshu University (SU)",Japan,84,9.5978167404914
"Guangxi University (GXU)",China,70,9.5937940775247
"Bangor University","United Kingdom (UK)",35,9.5609225244048
"Eötvös Loránd University (ELTE)",Hungary,125,9.5596735080203
"Eli Lilly and Company","United States of America (USA)",46,9.5502389889964
"Inha University","South Korea",47,9.5309221223534
"Spanish National Cancer Research Centre (CNIO)",Spain,49,9.5102012377649
"La Jolla Institute for Immunology (LJI)","United States of America (USA)",44,9.4804208265142
"University of Minho (UM)",Portugal,83,9.4111643376287
"Università della Svizzera Italiana (USI)",Switzerland,34,9.4109580297749
"University of Coimbra (UC)",Portugal,99,9.3992739717796
"The University of Maine (UMaine)","United States of America (USA)",64,9.3962016497342
"Florida Atlantic University (FAU)","United States of America (USA)",42,9.3739421078202
"Ural Federal University (UrFU)",Russia,43,9.3705839968998
"Ohio University (Ohio)","United States of America (USA)",44,9.3688993324634
"University of Kassel",Germany,25,9.3627178250354
"Gunma University",Japan,32,9.3607323232323
"Pontifical Catholic University of Chile (PUC)",Chile,126,9.3566475408984
"University of Genova",Italy,201,9.3104820417211
"University of Plymouth","United Kingdom (UK)",54,9.3103189104709
"Tarbiat Modares University (TMU)",Iran,17,9.272428691596
"China University of Mining and Technology (CUMT)",China,23,9.2564204314204
"Korea Research Institute of Standards and Science (KRISS)","South Korea",29,9.2461973320797
"Catalan Health Institute (ICS)",Spain,106,9.2273231031641
"Federal University of Minas Gerais (UFMG)",Brazil,41,9.2033611370777
"University of Augsburg",Germany,36,9.1910267863621
"East Carolina University (ECU)","United States of America (USA)",21,9.1904761904762
"University of Hull","United Kingdom (UK)",39,9.1864505253478
"CIC nanoGUNE Consolider",Spain,31,9.1753434065934
"University of Kent","United Kingdom (UK)",36,9.1635956871615
"University of Osnabrück (Uni Osnabrück)",Germany,28,9.1522787397787
"University of Mons (UMONS)",Belgium,34,9.1475542001858
"Yokohama National University (YNU)",Japan,23,9.1415858227247
"Nihon University",Japan,34,9.1269239322165
"University of the Balearic Islands (UIB)",Spain,43,9.1220270004643
"Oxford University Hospitals NHS Trust (OUH)","United Kingdom (UK)",127,9.1096254383899
"University of KwaZulu-Natal (UKZN)","South Africa",49,9.0987012892617
"The University of South Australia (UniSA)",Australia,61,9.0718885223894
"National Centre for Scientific Research 'Demokritos' (NCSR)",Greece,132,9.0531522513139
"Bruker Corporation","United States of America (USA)",50,9.0526343989046
"University of Science and Technology (UST)","South Korea",79,9.0424004386161
"United Nations (UN)",International,56,9.0400678973056
"Nagoya Institute of Technology (NITech)",Japan,19,9.0399470899471
"The University of Electro-Communications (UEC)",Japan,24,9.026310706202
"Memorial University of Newfoundland (MUN)",Canada,37,8.9839195419732
"Interuniversity Microelectronics Centre (IMEC)",Belgium,38,8.9480357225558
"Champalimaud Foundation",Portugal,26,8.9398255848819
"Chongqing Medical University (CQMU)",China,29,8.9359200438657
"Konkuk University","South Korea",31,8.9036874236874
"Yokohama City University (YCU)",Japan,47,8.8938944460318
"Tokushima University",Japan,34,8.8828274742816
"Massey University","New Zealand",81,8.8618283865846
"Northern Illinois University (NIU)","United States of America (USA)",78,8.8559492990287
"Stanford Health Care","United States of America (USA)",208,8.8558068335871
"Center for Research and Advanced Studies of the National Polytechnic Institute (CINVESTAV)",Mexico,113,8.8518776786086
"University of Shanghai for Science and Technology (USST)",China,35,8.8503949267107
"Beijing Forestry University (BFU)",China,26,8.8425540553984
"National Centre for Nuclear Research (NCBJ)",Poland,147,8.8402002454342
"Gakushuin University",Japan,20,8.8373015873016
"Wuhan University of Science and Technology (WUST)",China,29,8.8174976773214
"S. N. Bose National Centre for Basic Sciences (SNBNCBS)",India,22,8.8137987012987
"Loughborough University","United Kingdom (UK)",47,8.8093132730867
"Jaume I University (UJI)",Spain,58,8.8022920924392
"University of Aalborg (AAU)",Denmark,52,8.7847124410555
"Technical University of Madrid (UPM)",Spain,45,8.7705205688165
"Istanbul Technical University (ITU)",Turkey,79,8.7525621059849
"Nanjing University of Chinese Medicine (NJUCM)",China,39,8.7395400124567
"NERC British Antarctic Survey (BAS)","United Kingdom (UK)",46,8.7010500334438
"London School of Hygiene and Tropical Medicine (LSHTM)","United Kingdom (UK)",69,8.6610446800912
"Pontifical Catholic University of Valparaíso (PUCV)",Chile,33,8.6601428469838
"Swiss Institute of Bioinformatics (SIB)",Switzerland,95,8.6593124440775
"Chemnitz University of Technology (TU Chemnitz)",Germany,34,8.6489658489658
"Institut Mines-Télécom (IMT)",France,239,8.6203351486034
"Seattle Children's Hospital","United States of America (USA)",56,8.6167338280047
"The National Academy of Sciences of Ukraine (NASU)",Ukraine,168,8.6126680676473
"Natural History Museum","United Kingdom (UK)",52,8.6046789376956
"Flinders University",Australia,47,8.5798389548257
"Université du Québec à Montréal (UQAM)",Canada,78,8.5628966706645
"Shanxi Normal University (SXNU)",China,29,8.556022025284
"Finnish Meteorological Institute (FMI)",Finland,36,8.5224291879217
"Kangwon National University","South Korea",24,8.518509984639
"Stanford Children's Health","United States of America (USA)",204,8.5173028649142
"University Institute of France (IUF)",France,94,8.4713137775048
"National University of La Plata (UNLP)",Argentina,84,8.4671115031029
"East China Institute of Technology (ECIT)",China,21,8.4670745920746
"Andres Bello University (UNAB)",Chile,67,8.4598832344109
"Korea Basic Science Institute (KBSI)","South Korea",56,8.452222097075
"Ariel University (AU)",Israel,15,8.4013104466593
"U.S. Department of Health and Human Services (HHS)","United States of America (USA)",39,8.3963634060669
"Oklahoma State University","United States of America (USA)",72,8.368685348715
"University of Shizuoka",Japan,21,8.3619844132156
"Polytechnique Montréal",Canada,56,8.345532350863
"Taiyuan University of Technology (TYUT)",China,28,8.3396797646798
"University of Idaho","United States of America (USA)",49,8.3391163970082
"European Commission (EC)",Belgium,40,8.3014887943817
"Japan Aerospace Exploration Agency (JAXA)",Japan,46,8.3011515763306
"University of Insubria",Italy,39,8.2652399467741
"Federal Institute for Materials Research and Testing (BAM)",Germany,28,8.2609822073638
"Italian Foundation for Cancer Research (FIRC)",Italy,35,8.2586357850707
"India Ministry of Science and Technology",India,30,8.2497784113854
"National Institute for Environmental Studies (NIES)",Japan,38,8.2487187961223
"Osaka City University (OCU)",Japan,45,8.211781015707
"Brigham Young University (BYU)","United States of America (USA)",30,8.1969759681219
"Leidos Holdings, Inc.","United States of America (USA)",94,8.1930847527381
"Wuhan Institute of Technology (WIT)",China,23,8.1914400213313
"National Museum of Natural History (MNHN)",France,162,8.1775060966876
"Fluminense Federal University (UFF)",Brazil,22,8.1710087834418
"National Chung Hsing University (NCHU)",Taiwan,26,8.1648875394141
"International Solvay Institutes",Belgium,34,8.1333333333333
"University of Perugia",Italy,160,8.1028304375705
"Universities Space Research Association (USRA)","United States of America (USA)",104,8.0673584777159
BGI,China,47,8.0538729004629
"Yamagata University",Japan,31,8.0321508245495
"Federal University of Rio Grande do Norte (UFRN)",Brazil,42,8.0231522493106
"University of Versailles Saint-Quentin-en-Yvelines (UVSQ)",France,190,8.0036723298479
"Korea Research Institute of Chemical Technology (KRICT)","South Korea",36,7.9985518164227
"Federal University of Santa Catarina (UFSC)",Brazil,26,7.9830030319414
"University of Salzburg",Austria,23,7.9607674092194
"Gulbenkian Science Institute (IGC)",Portugal,24,7.9491153047732
"National Cancer Center (NCC)",Japan,40,7.9276311558635
"University of Cagliari (UNICA)",Italy,77,7.8632799162912
"Shandong Agricultural University (SDAU)",China,24,7.8287274668198
"Formosa Plastics Group",Taiwan,31,7.8014325150291
"Harbin Engineering University (HEU)",China,22,7.7782726532727
"University of North Carolina at Charlotte (UNC Charlotte)","United States of America (USA)",18,7.7759733200523
"Institute of Nano Science and Technology (INST)",India,12,7.7636904761905
"Norwegian University of Life Sciences (NMBU)",Norway,27,7.7509345110332
"University of Lethbridge",Canada,21,7.7421323027255
"Kazan Federal University (KFU)",Russia,37,7.710449086732
"University of Bari Aldo Moro (UniBA)",Italy,165,7.7076824846203
"Chimie ParisTech (ENSCP)",France,133,7.7072042349243
"Shiraz University",Iran,15,7.6972222222222
"New Mexico State University (NMSU)","United States of America (USA)",56,7.670348816682
"University of Southern Mississippi (USM)","United States of America (USA)",23,7.6659239084761
"Liverpool School of Tropical Medicine (LSTM)","United Kingdom (UK)",34,7.6631860598729
"Stellenbosch University (SU)","South Africa",52,7.6627190100068
"Centre National d’Etudes Spatiales (CNES)",France,138,7.6525575305001
"Saitama University",Japan,22,7.6490942028986
"Department of Fisheries and Oceans Canada (DFO)",Canada,29,7.6361554567437
"Aristotle University of Thessaloniki (AUTH)",Greece,70,7.6210272366103
"Hirosaki University",Japan,23,7.6206247456247
"Elettra - Sincrotrone Trieste S.C.p.A.",Italy,39,7.59566887361
"International Institute for Applied Systems Analysis (IIASA)",Austria,54,7.5655853957131
"Koç University (KU)",Turkey,28,7.5596697239177
"Garvan Institute of Medical Research",Australia,50,7.5559926325641
"University of Portsmouth","United Kingdom (UK)",42,7.5520749032551
"Xinjiang University (XJU)",China,13,7.5318223443223
"Chulalongkorn University (CU)",Thailand,93,7.5243484239859
"University of La Laguna (ULL)",Spain,75,7.5227261048778
"Kaohsiung Medical University (KMU)",Taiwan,36,7.5176986703772
"Institute of Molecular Biology gGmbH (IMB)",Germany,18,7.4985168426345
"South Central University for Nationalities (SCUN)",China,22,7.4896954352837
"École Nationale Supérieure de Chimie de Rennes (ENSCR)",France,66,7.4860058503731
"University of Seoul (UOS)","South Korea",79,7.485881223113
"Kyoto Institute of Technology (KIT)",Japan,18,7.4732864357864
"Kwangwoon University","South Korea",14,7.458547008547
"CY Cergy Paris University",France,42,7.4584035486119
"Indian Institute of Technology Ropar (IIT Ropar)",India,11,7.4547619047619
"University of Hohenheim",Germany,20,7.4523138378458
"Ludwig Cancer Research","United States of America (USA)",117,7.4081319783934
"Rady Children's Hospital-San Diego","United States of America (USA)",84,7.3979484564989
"Sichuan Normal University",China,20,7.3674242424242
"University of Roma Tre",Italy,86,7.3261742234349
"German Federal Institute of Hydrology (BfG)",Germany,11,7.322619047619
"University of Silesia (US)",Poland,20,7.3178149435965
"International Iberian Nanotechnology Laboratory (INL)",Portugal,34,7.3120905410379
"University of Toyama",Japan,30,7.2394445534322
"Wrocław University of Science and Technology (WRUT)",Poland,31,7.2374017890322
"New University of Lisbon (UNL)",Portugal,70,7.2270891276948
"State University of New York Upstate Medical University (SUNY Upstate Medical University)","United States of America (USA)",35,7.2125933624373
"University of Guanajuato (UG)",Mexico,15,7.1850795044386
"National Technical University of Athens (NTUA)",Greece,129,7.1637582733917
"AbbVie Inc.","United States of America (USA)",22,7.1610014626076
"Roswell Park Cancer Institute (RPCI)","United States of America (USA)",29,7.1570893274538
"University of Concepción (UdeC)",Chile,52,7.1496610824419
"Peter MacCallum Cancer Centre (Peter Mac)",Australia,65,7.1368154706296
"Novo Nordisk A/S",Denmark,29,7.116158733736
"Tokyo Metropolitan Institute of Medical Science (IGAKUKEN)",Japan,26,7.1088890641522
Sanofi,France,35,7.0990990931339
"Hitachi, Ltd.",Japan,28,7.0983175987527
"BASF SE",Germany,42,7.0912071024735
"National Taiwan University of Science and Technology (NTUST)",Taiwan,22,7.0728535353535
"Guilin University of Technology (GUT)",China,24,7.0537698412698
"Physikalisch-Technische Bundesanstalt (PTB)",Germany,28,7.0387186720118
"École Pratique des Hautes Études (EPHE)",France,198,7.03694442862
"University of Cantabria (UC)",Spain,99,7.0249829766637
"Spanish National Center for Cardiovascular Research (CNIC)",Spain,24,7.0242804218075
"Slovak Academy of Sciences (SAS)",Slovakia,95,7.0213031766777
"Harbin Medical University (HMU)",China,30,7.0130350042115
"Nottingham Trent University","United Kingdom (UK)",27,7.0103904664684
"Monterey Bay Aquarium Research Institute (MBARI)","United States of America (USA)",28,6.9875472769299
"Xuzhou Medical University (XZMC)",China,24,6.9832749766573
"University of Tennessee Health Science Center (UTHSC)","United States of America (USA)",33,6.9715238842686
"Fujian Medical University",China,22,6.9367554385937
"Yantai University (YTU)",China,29,6.9273003804981
"Southern Illinois University, Carbondale (SIU)","United States of America (USA)",24,6.8954218556189
"New Mexico Institute of Mining and Technology (NMT)","United States of America (USA)",59,6.880952599719
"American Museum of Natural History (AMNH)","United States of America (USA)",49,6.8661317494651
"Gyeongsang National University (GNU)","South Korea",32,6.8550551054508
"Thomas Jefferson National Accelerator Facility (TJNAF)","United States of America (USA)",41,6.8226174808082
"AGH University of Science and Technology (AGH UST)",Poland,156,6.8160051503355
"VTT Technical Research Centre of Finland Ltd.",Finland,89,6.8131125918468
"Luoyang Normal University",China,17,6.7813492063492
"University of Valladolid (UVa)",Spain,25,6.7796815730485
"Xinyang Normal University (XYNU)",China,32,6.7761973630617
"Mississippi State University","United States of America (USA)",57,6.7546257010644
"Pablo de Olavide University (UPO)",Spain,31,6.7433300810076
"Korea Research Institute of Bioscience and Biotechnology (KRIBB)","South Korea",31,6.7369349770149
"Chungbuk National University","South Korea",20,6.7190651260504
"University of Vigo (UVIGO)",Spain,35,6.7171006851037
"University of Málaga (UMA)",Spain,42,6.7103193078542
"Southern Methodist University (SMU)","United States of America (USA)",68,6.6268220506564
"King Abdulaziz University (KAU)","Saudi Arabia",68,6.6201617624016
"China Geological Survey (CGS)",China,182,6.5920710867682
"China Three Gorges University (CTGU)",China,24,6.5807367235939
"Guangzhou University of Chinese Medicine (GZUCM)",China,19,6.5754789209676
"École Nationale Supérieure de Chimie de Montpellier (ENSCM)",France,85,6.5456384194115
"University of Alicante (UA)",Spain,50,6.5129659828189
"University of Tehran (UT)",Iran,21,6.4981481481481
"Silesian University in Opava (SLU)","Czech Republic",17,6.4967592592593
"National Institute of Infectious Diseases (NIID)",Japan,23,6.4901976617099
"National Interuniversity Consortium of Materials Science and Technology (INSTM)",Italy,51,6.4753038680469
"Bureau of Meteorology (BOM)",Australia,21,6.471875
"National Physical Laboratory (NPL)","United Kingdom (UK)",41,6.4251436063936
"Chinese Academy of Geological Sciences (CAGS)",China,26,6.4229548229548
"Federal University of São Carlos (UFSCar)",Brazil,22,6.4103208779525
"Jianghan University",China,28,6.4044612794613
"National Council of Science and Technology (CONACYT)",Mexico,73,6.4005857700332
"Institute for Systems Biology (ISB)","United States of America (USA)",26,6.3961404537257
"Zhengzhou University of Light Industry (ZZULI)",China,19,6.395670995671
"University of Verona (UNIVR)",Italy,43,6.3825617940607
"France Ministry of Ecology, Sustainable Development and Energy",France,120,6.3619917555399
"State University of New York College at Buffalo (SUNY Buffalo State)","United States of America (USA)",46,6.3484148992756
"Gdańsk University of Technology (GUT)",Poland,16,6.338474025974
"Kanagawa University",Japan,11,6.3370680044593
"Netherlands Organisation for Applied Scientific Research (TNO)",Netherlands,41,6.330880298895
"Basque Center for Macromolecular Design and Engineering",Spain,30,6.3098155929038
"Boise State University","United States of America (USA)",22,6.3085262310306
"Hebei Normal University",China,27,6.306107726696
"Center for Cooperative Research in Biosciences (CIC bioGUNE)",Spain,28,6.3060144588597
"Oklahoma Medical Research Foundation (OMRF)","United States of America (USA)",20,6.2923872508244
"National Institute for Research in Computer Science and Control (INRIA)",France,235,6.2918522580169
"Bowling Green State University (BGSU)","United States of America (USA)",21,6.2893160488749
"National Science Foundation (NSF)","United States of America (USA)",71,6.284649590948
"Zunyi Medical University (ZMU)",China,10,6.2650793650794
"Toyota Technological Institute (TTI)",Japan,14,6.2073232323232
"University of Orléans",France,63,6.1817335922745
"Tomsk State University (TSU)",Russia,128,6.1672156993293
"Vilnius University (VU)",Lithuania,89,6.1371837006766
"Old Dominion University (ODU)","United States of America (USA)",54,6.1317820418652
"University of Brasília (UnB)",Brazil,19,6.1185521949528
"Federal University of Paraíba (UFPB)",Brazil,16,6.1083333333333
"China West Normal University (CWNU)",China,24,6.1043371661019
"Biogen Inc.","United States of America (USA)",19,6.1012062529814
"Northeast Forestry University",China,18,6.0954304954305
"National Research Institute for Earth Science and Disaster Resilience (NIED)",Japan,16,6.0954013377926
"University of Savoy (USMB)",France,191,6.0923538997887
"Jiangsu University of Science and Technology (JUST)",China,23,6.0860028860029
"University of Navarra (UNAV)",Spain,26,6.0827975932138
"Melbourne Health",Australia,93,6.0673887840838
"Anhui University of Technology",China,12,6.0544011544012
"University of Massachusetts Boston (UMass Boston)","United States of America (USA)",35,6.0260744882605
"Dalian Medical University (DMU)",China,23,6.0171123963419
"European Southern Observatory (ESO)",Germany,67,5.9830872790105
"National Energy Technology Laboratory (NETL)","United States of America (USA)",11,5.9785714285714
