country	num_entries	total	doi	year	query_date
United States	1	1	doi:10.1186/s40779-017-0130-9	2017	2021-03-30
United States	1	1	doi:10.1007/s10544-017-0151-x	2017	2021-03-30
Germany	1	1	doi:10.1038/s41598-017-14762-6	2017	2021-03-30
United Kingdom	1	1	doi:10.1038/s41598-017-14762-6	2017	2021-03-30
Denmark	1	1	doi:10.1186/s40064-017-3789-1	2017	2021-03-30
United States	1	1	doi:10.1186/s40064-017-3789-1	2017	2021-03-30
Turkey	1	1	doi:10.1007/s10479-017-2726-6	2017	2021-03-30
Brazil	1	1	doi:10.1007/s00526-017-1176-y	2017	2021-03-30
Portugal	1	1	doi:10.1007/s10544-017-0150-y	2017	2021-03-30
Canada	1	1	doi:10.1186/s12875-017-0599-z	2017	2021-03-30
United States	1	1	doi:10.1007/s11051-017-3772-3	2017	2021-03-30
China	1	1	doi:10.1007/s41365-017-0218-7	2017	2021-03-30
China	1	1	doi:10.1186/s12931-017-0611-0	2017	2021-03-30
United States	1	1	doi:10.1186/s12931-017-0611-0	2017	2021-03-30
NA	NA	1	doi:10.1038/s41559-017-0171	2017	2021-03-30
Italy	1	1	doi:10.1186/s40537-017-0068-5	2017	2021-03-30
NA	NA	1	doi:10.1007/JHEP05(2017)160	2017	2021-03-30
Pakistan	1	1	doi:10.1140/epjp/i2017-11705-4	2017	2021-03-30
Vietnam	1	1	doi:10.1140/epjp/i2017-11705-4	2017	2021-03-30
Brazil	1	1	doi:10.1186/s12974-017-0793-x	2017	2021-03-30
Germany	1	1	doi:10.1186/s12974-017-0793-x	2017	2021-03-30
United States	1	1	doi:10.1186/s12974-017-0793-x	2017	2021-03-30
Pakistan	1	1	doi:10.1186/s12944-017-0490-x	2017	2021-03-30
Canada	1	1	doi:10.1038/s41598-017-10972-0	2017	2021-03-30
India	1	1	doi:10.1038/s41598-017-10972-0	2017	2021-03-30
United States	1	1	doi:10.1038/scsandc.2017.54	2017	2021-03-30
United States	1	1	doi:10.1186/s41199-017-0024-2	2017	2021-03-30
NA	NA	1	doi:10.1038/nj7669-615c	2017	2021-03-30
United States	1	1	doi:10.1038/s41525-017-0026-3	2017	2021-03-30
China	1	1	doi:10.1038/s41598-017-14453-2	2017	2021-03-30
China	1	1	doi:10.1038/s41598-017-16920-2	2017	2021-03-30
United States	1	1	doi:10.1038/s41598-017-16920-2	2017	2021-03-30
Turkey	1	1	doi:10.1186/s13005-017-0136-2	2017	2021-03-30
Argentina	1	1	doi:10.1038/s41598-017-07294-6	2017	2021-03-30
Spain	1	1	doi:10.1038/s41598-017-07294-6	2017	2021-03-30
NA	NA	1	doi:10.1038/srep45949	2017	2021-03-30
United Kingdom	1	1	doi:10.1186/s13148-017-0367-x	2017	2021-03-30
United States	1	1	doi:10.1186/s13148-017-0367-x	2017	2021-03-30
United Kingdom	1	1	doi:10.1007/s10347-017-0506-z	2017	2021-03-30
France	1	1	doi:10.1007/s11082-017-1030-7	2017	2021-03-30
United States	1	1	doi:10.1038/s41467-017-00083-9	2017	2021-03-30
Canada	1	1	doi:10.1038/nrdp.2017.91	2017	2021-03-30
France	1	1	doi:10.1038/nrdp.2017.91	2017	2021-03-30
Germany	1	1	doi:10.1038/nrdp.2017.91	2017	2021-03-30
India	1	1	doi:10.1038/nrdp.2017.91	2017	2021-03-30
Thailand	1	1	doi:10.1038/nrdp.2017.91	2017	2021-03-30
United Kingdom	1	1	doi:10.1038/nrdp.2017.91	2017	2021-03-30
China	1	1	doi:10.1007/s11433-017-9048-2	2017	2021-03-30
United States	1	1	doi:10.1007/s11433-017-9048-2	2017	2021-03-30
Spain	1	1	doi:10.1038/s41598-017-00641-7	2017	2021-03-30
NA	NA	1	doi:10.1007/JHEP06(2017)155	2017	2021-03-30
United States	1	1	doi:10.1186/s40168-017-0289-z	2017	2021-03-30
Switzerland	1	1	doi:10.1038/srep45476	2017	2021-03-30
United States	1	1	doi:10.1038/srep45476	2017	2021-03-30
South Africa	1	1	doi:10.1186/s12969-017-0215-8	2017	2021-03-30
China	1	1	doi:10.1186/s13662-017-1365-1	2017	2021-03-30
NA	NA	1	doi:10.1038/d41586-017-07509-w	2017	2021-03-30
United States	1	1	doi:10.1186/s12931-017-0521-1	2017	2021-03-30
China	1	1	doi:10.1007/s00033-017-0880-y	2017	2021-03-30
Slovenia	1	1	doi:10.1007/s00033-017-0880-y	2017	2021-03-30
Poland	1	1	doi:10.1186/s12941-017-0196-y	2017	2021-03-30
Turkey	1	1	doi:10.1007/s13205-017-0774-x	2017	2021-03-30
China	1	1	doi:10.1038/s41598-017-07008-y	2017	2021-03-30
Algeria	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Belgium	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Egypt	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Iran	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Jordan	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Kuwait	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Morocco	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
Saudi Arabia	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
United Arab Emirates	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
United Kingdom	1	1	doi:10.1186/s12887-017-0865-1	2017	2021-03-30
China	1	1	doi:10.1038/s41598-017-02127-y	2017	2021-03-30
China	1	1	doi:10.1186/s12891-017-1916-3	2017	2021-03-30
Germany	1	1	doi:10.1038/ncomms15440	2017	2021-03-30
Greece	1	1	doi:10.1038/ncomms15440	2017	2021-03-30
China	1	1	doi:10.1186/s13568-017-0353-x	2017	2021-03-30
Brazil	1	1	doi:10.1007/s00009-018-1186-9	2018	2021-03-30
China	1	1	doi:10.1186/s12918-018-0659-6	2018	2021-03-30
United States	1	1	doi:10.1007/s11916-018-0695-3	2018	2021-03-30
Belgium	1	1	doi:10.1186/s12302-018-0171-z	2018	2021-03-30
Canada	1	1	doi:10.1186/s12302-018-0171-z	2018	2021-03-30
Finland	1	1	doi:10.1186/s12302-018-0171-z	2018	2021-03-30
Germany	1	1	doi:10.1186/s12302-018-0171-z	2018	2021-03-30
Sweden	1	1	doi:10.1186/s12302-018-0171-z	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP07(2018)179	2018	2021-03-30
South Korea	1	1	doi:10.1140/epjc/s10052-018-6171-8	2018	2021-03-30
United States	1	1	doi:10.1140/epjc/s10052-018-6171-8	2018	2021-03-30
Canada	1	1	doi:10.1038/s41598-018-22181-4	2018	2021-03-30
France	1	1	doi:10.1038/s41598-018-22181-4	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-26886-4	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-26084-2	2018	2021-03-30
Austria	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Belgium	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
France	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Germany	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Ireland	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Italy	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Netherlands	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Portugal	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Spain	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
Switzerland	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
United Kingdom	1	1	doi:10.1186/s12959-018-0173-5	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-05252-4	2018	2021-03-30
China	1	1	doi:10.1038/s41467-018-06904-9	2018	2021-03-30
Spain	1	1	doi:10.1007/s11270-018-3835-9	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-35896-1	2018	2021-03-30
Singapore	1	1	doi:10.1038/s41598-018-35896-1	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-35896-1	2018	2021-03-30
Canada	1	1	doi:10.1186/s12889-018-5987-3	2018	2021-03-30
Germany	1	1	doi:10.1186/s40779-018-0166-5	2018	2021-03-30
Australia	1	1	doi:10.1007/s11926-018-0796-3	2018	2021-03-30
China	1	1	doi:10.1007/s11783-018-1046-7	2018	2021-03-30
Israel	1	1	doi:10.1038/s41389-018-0060-8	2018	2021-03-30
Poland	1	1	doi:10.1007/s11032-018-0804-3	2018	2021-03-30
United States	1	1	doi:10.1007/s11032-018-0804-3	2018	2021-03-30
United States	1	1	doi:10.1186/s13635-018-0082-y	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP11(2018)197	2018	2021-03-30
Canada	1	1	doi:10.1038/s41586-018-0119-x	2018	2021-03-30
France	1	1	doi:10.1038/s41586-018-0119-x	2018	2021-03-30
Germany	1	1	doi:10.1038/s41586-018-0119-x	2018	2021-03-30
United States	1	1	doi:10.1038/s41586-018-0119-x	2018	2021-03-30
China	1	1	doi:10.1007/s11128-018-2135-z	2018	2021-03-30
United Kingdom	1	1	doi:10.1007/s40200-018-0371-5	2018	2021-03-30
Japan	1	1	doi:10.1186/s13014-018-1114-y	2018	2021-03-30
South Korea	1	1	doi:10.1186/s13014-018-1114-y	2018	2021-03-30
China	1	1	doi:10.1186/s12879-018-3342-z	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP02(2018)173	2018	2021-03-30
Japan	1	1	doi:10.1038/s41598-018-25065-9	2018	2021-03-30
Iran	1	1	doi:10.1140/epjc/s10052-018-6446-0	2018	2021-03-30
Japan	1	1	doi:10.1140/epjc/s10052-018-6446-0	2018	2021-03-30
Pakistan	1	1	doi:10.1140/epjc/s10052-018-6446-0	2018	2021-03-30
Denmark	1	1	doi:10.1186/s40733-018-0042-9	2018	2021-03-30
United States	1	1	doi:10.1186/s40733-018-0042-9	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-22160-9	2018	2021-03-30
Mexico	1	1	doi:10.1007/s00340-018-6938-5	2018	2021-03-30
Taiwan	1	1	doi:10.1186/s12909-018-1185-3	2018	2021-03-30
China	1	1	doi:10.1186/s10033-018-0217-6	2018	2021-03-30
Algeria	1	1	doi:10.1007/s00601-018-1363-1	2018	2021-03-30
Australia	1	1	doi:10.1038/s41598-018-22091-5	2018	2021-03-30
Italy	1	1	doi:10.1038/s41598-018-22091-5	2018	2021-03-30
Switzerland	1	1	doi:10.1038/s41467-018-03690-2	2018	2021-03-30
France	1	1	doi:10.1038/s41598-018-25253-7	2018	2021-03-30
Germany	1	1	doi:10.1038/s41598-018-25253-7	2018	2021-03-30
Japan	1	1	doi:10.1038/s41598-018-25253-7	2018	2021-03-30
Turkey	1	1	doi:10.1186/s12263-018-0602-x	2018	2021-03-30
Netherlands	1	1	doi:10.1007/s00348-018-2570-8	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-05273-z	2018	2021-03-30
Bangladesh	1	1	doi:10.1007/s00339-018-2270-5	2018	2021-03-30
Poland	1	1	doi:10.1186/s13028-018-0388-2	2018	2021-03-30
China	1	1	doi:10.1186/s12957-018-1421-7	2018	2021-03-30
Egypt	1	1	doi:10.1038/s41467-018-06820-y	2018	2021-03-30
France	1	1	doi:10.1038/s41467-018-06820-y	2018	2021-03-30
Japan	1	1	doi:10.1038/s41467-018-06820-y	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41467-018-06820-y	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP11(2018)205	2018	2021-03-30
Brazil	1	1	doi:10.1186/s12860-018-0170-3	2018	2021-03-30
Iran	1	1	doi:10.1007/s41365-018-0482-1	2018	2021-03-30
France	1	1	doi:10.1007/s00006-018-0871-x	2018	2021-03-30
Austria	1	1	doi:10.1038/s41467-018-03256-2	2018	2021-03-30
Germany	1	1	doi:10.1038/s41467-018-03256-2	2018	2021-03-30
Netherlands	1	1	doi:10.1038/s41467-018-03256-2	2018	2021-03-30
Russia	1	1	doi:10.1038/s41467-018-03256-2	2018	2021-03-30
Spain	1	1	doi:10.1038/s41467-018-03256-2	2018	2021-03-30
United Kingdom	1	1	doi:10.1007/s11934-018-0755-6	2018	2021-03-30
United States	1	1	doi:10.1038/s41467-018-02858-0	2018	2021-03-30
Japan	1	1	doi:10.1038/s41598-018-25043-1	2018	2021-03-30
Turkey	1	1	doi:10.1186/s12886-018-0907-y	2018	2021-03-30
United States	1	1	doi:10.1186/s12887-018-1315-4	2018	2021-03-30
Germany	1	1	doi:10.1186/s12651-018-0249-5	2018	2021-03-30
United States	1	1	doi:10.1186/s12651-018-0249-5	2018	2021-03-30
United States	1	1	doi:10.1186/s40594-018-0140-5	2018	2021-03-30
Germany	1	1	doi:10.1038/s41598-018-35727-3	2018	2021-03-30
China	1	1	doi:10.1007/s10714-018-2375-3	2018	2021-03-30
India	1	1	doi:10.1007/s10714-018-2375-3	2018	2021-03-30
Pakistan	1	1	doi:10.1007/s10714-018-2375-3	2018	2021-03-30
China	1	1	doi:10.1186/s40535-018-0052-y	2018	2021-03-30
Belgium	1	1	doi:10.1186/s12905-018-0635-8	2018	2021-03-30
Iran	1	1	doi:10.1186/s12905-018-0635-8	2018	2021-03-30
Germany	1	1	doi:10.1140/epjqt/s40507-018-0067-2	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP08(2018)203	2018	2021-03-30
China	1	1	doi:10.1038/s41419-017-0096-2	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-02616-8	2018	2021-03-30
Switzerland	1	1	doi:10.1140/epje/i2018-11621-0	2018	2021-03-30
China	1	1	doi:10.1186/s12859-018-2517-3	2018	2021-03-30
India	1	1	doi:10.1007/s12043-018-1593-2	2018	2021-03-30
Netherlands	1	1	doi:10.1186/s40965-018-0057-4	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41598-018-24703-6	2018	2021-03-30
United Kingdom	1	1	doi:10.1007/s11293-018-9597-3	2018	2021-03-30
Japan	1	1	doi:10.1186/s40736-018-0038-7	2018	2021-03-30
Ethiopia	1	1	doi:10.1186/s12884-018-2016-6	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-29775-y	2018	2021-03-30
Canada	1	1	doi:10.1038/s41598-018-27813-3	2018	2021-03-30
Germany	1	1	doi:10.1038/s41598-018-27813-3	2018	2021-03-30
Greece	1	1	doi:10.1038/s41598-018-27813-3	2018	2021-03-30
Italy	1	1	doi:10.1038/s41598-018-27813-3	2018	2021-03-30
Turkey	1	1	doi:10.1038/s41598-018-27813-3	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-27813-3	2018	2021-03-30
Italy	1	1	doi:10.1186/s13569-018-0091-0	2018	2021-03-30
China	1	1	doi:10.1007/s11432-017-9336-x	2018	2021-03-30
India	1	1	doi:10.1186/s12866-018-1234-4	2018	2021-03-30
United Kingdom	1	1	doi:10.1186/s12866-018-1234-4	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-28305-0	2018	2021-03-30
United States	1	1	doi:10.1186/s13037-018-0166-0	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-34216-x	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-34216-x	2018	2021-03-30
Singapore	1	1	doi:10.1186/s12888-018-1616-z	2018	2021-03-30
Canada	1	1	doi:10.1007/s41978-018-0018-6	2018	2021-03-30
United States	1	1	doi:10.1007/s41978-018-0018-6	2018	2021-03-30
Japan	1	1	doi:10.1038/s41598-018-19898-7	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-05113-0	2018	2021-03-30
United States	1	1	doi:10.1186/s12888-018-1824-6	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41598-018-28276-2	2018	2021-03-30
France	1	1	doi:10.1186/s40349-018-0117-3	2018	2021-03-30
United States	1	1	doi:10.1007/s00227-018-3335-x	2018	2021-03-30
Germany	1	1	doi:10.1038/s41598-018-22144-9	2018	2021-03-30
Norway	1	1	doi:10.1038/s41598-018-22144-9	2018	2021-03-30
Turkey	1	1	doi:10.1186/s13018-018-0843-9	2018	2021-03-30
Sweden	1	1	doi:10.1186/s12859-018-2413-x	2018	2021-03-30
United Kingdom	1	1	doi:10.1186/s12859-018-2413-x	2018	2021-03-30
Japan	1	1	doi:10.1186/s12879-018-3353-9	2018	2021-03-30
United States	1	1	doi:10.1038/s41467-018-04117-8	2018	2021-03-30
United States	1	1	doi:10.1186/s41044-018-0033-0	2018	2021-03-30
Taiwan	1	1	doi:10.1038/s41598-018-29961-y	2018	2021-03-30
India	1	1	doi:10.1007/s12043-018-1559-4	2018	2021-03-30
NA	NA	1	doi:10.1038/natrevmats.2018.5	2018	2021-03-30
United States	1	1	doi:10.1186/s40425-018-0395-x	2018	2021-03-30
Canada	1	1	doi:10.1038/s41598-018-28175-6	2018	2021-03-30
South Korea	1	1	doi:10.1038/s41598-018-28175-6	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-28175-6	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-03431-x	2018	2021-03-30
Canada	1	1	doi:10.1007/s13171-018-00157-w	2018	2021-03-30
Germany	1	1	doi:10.1007/s13171-018-00157-w	2018	2021-03-30
China	1	1	doi:10.1007/s11274-018-2436-5	2018	2021-03-30
Australia	1	1	doi:10.1186/s12864-018-4488-1	2018	2021-03-30
Norway	1	1	doi:10.1186/s12864-018-4488-1	2018	2021-03-30
Russia	1	1	doi:10.1007/s11214-018-0470-0	2018	2021-03-30
China	1	1	doi:10.1007/s11783-018-1083-2	2018	2021-03-30
France	1	1	doi:10.1007/s41130-018-0079-4	2018	2021-03-30
Netherlands	1	1	doi:10.1186/s40736-018-0039-6	2018	2021-03-30
Sweden	1	1	doi:10.1186/s40736-018-0039-6	2018	2021-03-30
China	1	1	doi:10.1186/s40543-018-0150-4	2018	2021-03-30
India	1	1	doi:10.1186/s40543-018-0150-4	2018	2021-03-30
China	1	1	doi:10.1186/s13660-018-1620-3	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41598-018-22021-5	2018	2021-03-30
United States	1	1	doi:10.1186/s40658-018-0230-y	2018	2021-03-30
United States	1	1	doi:10.1186/s13073-018-0588-4	2018	2021-03-30
Norway	1	1	doi:10.1186/s12914-018-0173-3	2018	2021-03-30
State of Palestine	1	1	doi:10.1186/s12914-018-0173-3	2018	2021-03-30
Turkey	1	1	doi:10.1186/s40781-018-0165-9	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP07(2018)181	2018	2021-03-30
Argentina	1	1	doi:10.1140/epjds/s13688-018-0157-5	2018	2021-03-30
Chile	1	1	doi:10.1140/epjds/s13688-018-0157-5	2018	2021-03-30
Italy	1	1	doi:10.1140/epjds/s13688-018-0157-5	2018	2021-03-30
United Kingdom	1	1	doi:10.1007/s00214-018-2371-4	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41570-018-0123	2018	2021-03-30
Germany	1	1	doi:10.1186/s13054-018-2168-9	2018	2021-03-30
Argentina	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
Australia	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
Brazil	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
Chile	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
France	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
Germany	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
Norway	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
South Africa	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41598-018-35975-3	2018	2021-03-30
Japan	1	1	doi:10.1186/s12859-018-2523-5	2018	2021-03-30
China	1	1	doi:10.1007/s41365-018-0402-4	2018	2021-03-30
China	1	1	doi:10.1186/s12864-018-5276-7	2018	2021-03-30
Austria	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Belgium	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Denmark	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
France	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Germany	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Greece	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Italy	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Netherlands	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Norway	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Switzerland	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
United Kingdom	1	1	doi:10.1186/s10194-018-0896-5	2018	2021-03-30
Ireland	1	1	doi:10.1038/s41598-018-22174-3	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP06(2018)168	2018	2021-03-30
Iran	1	1	doi:10.1140/epja/i2018-12448-y	2018	2021-03-30
Paraguay	1	1	doi:10.1007/s11270-018-3891-1	2018	2021-03-30
Spain	1	1	doi:10.1007/s11270-018-3891-1	2018	2021-03-30
Romania	1	1	doi:10.1007/s11784-018-0605-7	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-05245-3	2018	2021-03-30
Iran	1	1	doi:10.1007/s10681-018-2121-7	2018	2021-03-30
China	1	1	doi:10.1186/s10033-018-0208-7	2018	2021-03-30
United Kingdom	1	1	doi:10.1186/s10033-018-0208-7	2018	2021-03-30
China	1	1	doi:10.1186/s12920-018-0430-2	2018	2021-03-30
China	1	1	doi:10.1007/s11270-018-3989-5	2018	2021-03-30
Algeria	1	1	doi:10.1007/s00214-018-2252-x	2018	2021-03-30
Mexico	1	1	doi:10.1007/s00214-018-2252-x	2018	2021-03-30
New Zealand	1	1	doi:10.1186/s13054-018-2161-3	2018	2021-03-30
Switzerland	1	1	doi:10.1140/epjc/s10052-018-5771-7	2018	2021-03-30
China	1	1	doi:10.1007/s11128-018-1857-2	2018	2021-03-30
United States	1	1	doi:10.1007/s10746-018-9477-5	2018	2021-03-30
China	1	1	doi:10.1186/s13568-018-0689-x	2018	2021-03-30
United Kingdom	1	1	doi:10.1007/s00020-018-2498-7	2018	2021-03-30
China	1	1	doi:10.1186/s13634-018-0573-5	2018	2021-03-30
Poland	1	1	doi:10.1186/s13223-018-0294-1	2018	2021-03-30
Portugal	1	1	doi:10.1007/s00227-018-3387-y	2018	2021-03-30
Spain	1	1	doi:10.1007/s00227-018-3387-y	2018	2021-03-30
China	1	1	doi:10.1038/s41467-018-06965-w	2018	2021-03-30
United States	1	1	doi:10.1038/s41467-018-06965-w	2018	2021-03-30
NA	NA	1	doi:10.1038/d41586-018-06143-4	2018	2021-03-30
Denmark	1	1	doi:10.1038/s41598-018-21914-9	2018	2021-03-30
China	1	1	doi:10.1007/s00604-018-2886-3	2018	2021-03-30
NA	NA	1	doi:10.1007/JHEP11(2018)201	2018	2021-03-30
Saudi Arabia	1	1	doi:10.1007/s11082-018-1551-8	2018	2021-03-30
Sudan	1	1	doi:10.1007/s11082-018-1551-8	2018	2021-03-30
Colombia	1	1	doi:10.1140/epjc/s10052-018-6472-y	2018	2021-03-30
Ecuador	1	1	doi:10.1140/epjc/s10052-018-6472-y	2018	2021-03-30
Brazil	1	1	doi:10.1140/epjc/s10052-018-6001-z	2018	2021-03-30
India	1	1	doi:10.1186/s40854-018-0102-4	2018	2021-03-30
Czech Republic	1	1	doi:10.1186/s13099-018-0241-1	2018	2021-03-30
Germany	1	1	doi:10.1186/s13099-018-0241-1	2018	2021-03-30
United States	1	1	doi:10.1007/s40614-018-0166-5	2018	2021-03-30
Finland	1	1	doi:10.1007/s00020-018-2454-6	2018	2021-03-30
Spain	1	1	doi:10.1007/s00020-018-2454-6	2018	2021-03-30
Japan	1	1	doi:10.1186/s40648-018-0116-8	2018	2021-03-30
Brazil	1	1	doi:10.1038/s41598-018-21854-4	2018	2021-03-30
Canada	1	1	doi:10.1038/s41598-018-21854-4	2018	2021-03-30
Taiwan	1	1	doi:10.1038/s41467-018-02862-4	2018	2021-03-30
Serbia	1	1	doi:10.1007/s11738-018-2731-7	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-34196-y	2018	2021-03-30
Kenya	1	1	doi:10.1038/s41598-018-27791-6	2018	2021-03-30
Serbia	1	1	doi:10.1038/s41598-018-27791-6	2018	2021-03-30
South Korea	1	1	doi:10.1038/s41598-018-27791-6	2018	2021-03-30
Switzerland	1	1	doi:10.1038/s41598-018-27791-6	2018	2021-03-30
United States	1	1	doi:10.1038/s41598-018-27791-6	2018	2021-03-30
China	1	1	doi:10.1038/s41419-018-0550-9	2018	2021-03-30
Canada	1	1	doi:10.1186/s41927-018-0034-7	2018	2021-03-30
Netherlands	1	1	doi:10.1186/s41927-018-0034-7	2018	2021-03-30
United States	1	1	doi:10.1186/s41927-018-0034-7	2018	2021-03-30
Iran	1	1	doi:10.1007/s11784-018-0539-0	2018	2021-03-30
South Korea	1	1	doi:10.1186/s40069-018-0279-y	2018	2021-03-30
Germany	1	1	doi:10.1038/s41467-018-03938-x	2018	2021-03-30
Sweden	1	1	doi:10.1038/s41467-018-03938-x	2018	2021-03-30
United States	1	1	doi:10.1038/s41467-018-03938-x	2018	2021-03-30
China	1	1	doi:10.1007/s00604-018-2878-3	2018	2021-03-30
United States	1	1	doi:10.1007/s40617-018-0225-0	2018	2021-03-30
Australia	1	1	doi:10.1038/s41598-018-20160-3	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-20160-3	2018	2021-03-30
United Kingdom	1	1	doi:10.1038/s41598-018-20160-3	2018	2021-03-30
NA	NA	1	doi:10.1038/sdata.2018.152	2018	2021-03-30
Denmark	1	1	doi:10.1038/s41467-018-04041-x	2018	2021-03-30
Germany	1	1	doi:10.1038/s41467-018-04041-x	2018	2021-03-30
Switzerland	1	1	doi:10.1038/s41467-018-04041-x	2018	2021-03-30
United States	1	1	doi:10.1007/s11128-018-1845-6	2018	2021-03-30
Saudi Arabia	1	1	doi:10.1186/s13065-018-0469-3	2018	2021-03-30
China	1	1	doi:10.1186/s12939-018-0827-8	2018	2021-03-30
United States	1	1	doi:10.1186/s12939-018-0827-8	2018	2021-03-30
China	1	1	doi:10.1186/s12944-018-0801-x	2018	2021-03-30
India	1	1	doi:10.1007/s12046-018-0880-4	2018	2021-03-30
China	1	1	doi:10.1007/s11783-018-1077-0	2018	2021-03-30
Sri Lanka	1	1	doi:10.1186/s12883-018-1093-5	2018	2021-03-30
India	1	1	doi:10.1007/s10916-018-1045-z	2018	2021-03-30
Malaysia	1	1	doi:10.1007/s10916-018-1045-z	2018	2021-03-30
France	1	1	doi:10.1007/s00020-018-2434-x	2018	2021-03-30
India	1	1	doi:10.1007/s00020-018-2434-x	2018	2021-03-30
Canada	1	1	doi:10.1007/s10509-018-3463-2	2018	2021-03-30
Netherlands	1	1	doi:10.1186/s13550-018-0418-0	2018	2021-03-30
Germany	1	1	doi:10.1038/s41598-018-35856-9	2018	2021-03-30
Switzerland	1	1	doi:10.1038/s41598-018-35856-9	2018	2021-03-30
Italy	1	1	doi:10.1007/s11906-018-0871-1	2018	2021-03-30
Italy	1	1	doi:10.1186/s13052-018-0525-6	2018	2021-03-30
Denmark	1	1	doi:10.1007/s11783-018-1037-8	2018	2021-03-30
India	1	1	doi:10.1007/s00339-018-1935-4	2018	2021-03-30
Canada	1	1	doi:10.1038/s41467-018-04092-0	2018	2021-03-30
Germany	1	1	doi:10.1038/s41467-018-04092-0	2018	2021-03-30
United States	1	1	doi:10.1038/s41467-018-04092-0	2018	2021-03-30
China	1	1	doi:10.1038/s41598-018-21995-6	2018	2021-03-30
Bangladesh	1	1	doi:10.1186/s12913-018-3486-y	2018	2021-03-30
